,color,keyword,set,release_date,count
558,blue,flying,Conflux,2009-02-06,9
559,blue,flying,Conspiracy: Take the Crown,2016-08-26,4
560,blue,flying,Core Set 2019,2018-07-13,11
561,blue,flying,Dark Ascension,2012-02-03,9
562,blue,flying,Darksteel,2004-02-06,3
563,blue,flying,Dissension,2006-05-05,11
564,blue,flying,Dominaria,2018-04-27,8
565,blue,flying,Dragon's Maze,2013-05-03,7
566,blue,flying,Dragons of Tarkir,2015-03-27,13
567,blue,flying,Duel Decks: Speed vs. Cunning,2014-09-05,1
568,blue,flying,Eldritch Moon,2016-07-22,8
569,blue,flying,Eventide,2008-07-25,8
570,blue,flying,Exodus,1998-06-15,5
571,blue,flying,Fallen Empires,1994-11-15,1
572,blue,flying,Fate Reforged,2015-01-23,7
573,blue,flying,Fifth Dawn,2004-06-04,3
574,blue,flying,Future Sight,2007-05-04,6
575,blue,flying,Gatecrash,2013-02-01,9
576,blue,flying,Global Series: Jiang Yanggu and Mu Yanling,2018-06-22,3
577,blue,flying,Guildpact,2006-02-03,7
578,blue,flying,Guilds of Ravnica,2018-10-05,12
579,blue,flying,Homelands,1995-10-14,4
580,blue,flying,Hour of Devastation,2017-07-14,8
581,blue,flying,Ice Age,1995-06-01,8
582,blue,flying,Innistrad,2011-09-30,11
583,blue,flying,Invasion,2000-10-02,15
584,blue,flying,Ixalan,2017-09-29,6
585,blue,flying,Journey into Nyx,2014-05-02,6
586,blue,flying,Judgment,2002-05-27,5
587,blue,flying,Kaladesh,2016-09-30,8
588,blue,flying,Khans of Tarkir,2014-09-26,10
589,blue,flying,Legends,1994-06-10,5
590,blue,flying,Legions,2003-02-03,11
591,blue,flying,Limited Edition Alpha,1993-08-05,5
592,blue,flying,Lorwyn,2007-10-12,12
593,blue,flying,Magic 2010,2009-07-17,4
594,blue,flying,Magic 2011,2010-07-16,4
595,blue,flying,Magic 2012,2011-07-15,5
596,blue,flying,Magic 2013,2012-07-13,4
597,blue,flying,Magic 2014 Core Set,2013-07-19,7
598,blue,flying,Magic 2015 Core Set,2014-07-18,7
599,blue,flying,Magic Origins,2015-07-17,7
600,blue,flying,Magic: The Gathering—Conspiracy,2014-06-06,1
601,blue,flying,Mercadian Masques,1999-10-04,10
602,blue,flying,Mirage,1996-10-08,17
603,blue,flying,Mirrodin,2003-10-02,5
604,blue,flying,Mirrodin Besieged,2011-02-04,3
605,blue,flying,Morningtide,2008-02-01,9
606,blue,flying,Nemesis,2000-02-14,4
607,blue,flying,New Phyrexia,2011-05-13,6
608,blue,flying,Oath of the Gatewatch,2016-01-22,4
609,blue,flying,Odyssey,2001-10-01,15
610,blue,flying,Onslaught,2002-10-07,10
611,blue,flying,Planar Chaos,2007-02-02,7
612,blue,flying,Planechase 2012 Edition,2012-06-01,2
613,blue,flying,Planeshift,2001-02-05,9
614,blue,flying,Portal,1997-05-01,8
615,blue,flying,Portal Second Age,1998-06-24,5
616,blue,flying,Prophecy,2000-06-05,8
617,blue,flying,Ravnica: City of Guilds,2005-10-07,9
618,blue,flying,Return to Ravnica,2012-10-05,15
619,blue,flying,Rise of the Eldrazi,2010-04-23,8
620,blue,flying,Rivals of Ixalan,2018-01-19,7
621,blue,flying,Saviors of Kamigawa,2005-06-03,8
622,blue,flying,Scars of Mirrodin,2010-10-01,6
623,blue,flying,Scourge,2003-05-26,4
624,blue,flying,Shadowmoor,2008-05-02,15
625,blue,flying,Shadows over Innistrad,2016-04-08,10
626,blue,flying,Shards of Alara,2008-10-03,12
627,blue,flying,Starter 1999,1999-07-12,1
628,blue,flying,Stronghold,1998-03-02,3
629,blue,flying,Tempest,1997-10-14,11
630,blue,flying,The Dark,1994-08-08,1
631,blue,flying,Theros,2013-09-27,10
632,blue,flying,Time Spiral,2006-10-06,10
633,blue,flying,Torment,2002-02-08,4
634,blue,flying,Urza's Destiny,1999-06-07,6
635,blue,flying,Urza's Legacy,1999-02-15,8
636,blue,flying,Urza's Saga,1998-10-12,9
637,blue,flying,Visions,1997-02-03,9
638,blue,flying,Weatherlight,1997-06-09,6
639,blue,flying,Worldwake,2010-02-05,3
640,blue,flying,Zendikar,2009-10-02,14
641,blue,haste,Alara Reborn,2009-04-30,3
642,blue,haste,Apocalypse,2001-06-04,1
643,blue,haste,Battle for Zendikar,2015-10-02,1
644,blue,haste,Coldsnap,2006-07-21,1
645,blue,haste,Commander 2016,2016-11-11,1
646,blue,haste,Commander 2017,2017-08-25,1
647,blue,haste,Commander 2018,2018-08-10,2
648,blue,haste,Conflux,2009-02-06,1
649,blue,haste,Dominaria,2018-04-27,1
650,blue,haste,Eventide,2008-07-25,1
651,blue,haste,Future Sight,2007-05-04,3
652,blue,haste,Hour of Devastation,2017-07-14,1
653,blue,haste,Ice Age,1995-06-01,1
654,blue,haste,Khans of Tarkir,2014-09-26,3
655,blue,haste,Lorwyn,2007-10-12,1
656,blue,haste,Magic Origins,2015-07-17,1
657,blue,haste,Magic: The Gathering—Conspiracy,2014-06-06,2
658,blue,haste,Mercadian Masques,1999-10-04,1
659,blue,haste,Oath of the Gatewatch,2016-01-22,2
660,blue,haste,Odyssey,2001-10-01,1
661,blue,haste,Planar Chaos,2007-02-02,2
662,blue,haste,Planechase 2012 Edition,2012-06-01,1
663,blue,haste,Return to Ravnica,2012-10-05,2
664,blue,haste,Rivals of Ixalan,2018-01-19,1
665,blue,haste,Scourge,2003-05-26,1
666,blue,haste,Shards of Alara,2008-10-03,6
667,blue,haste,Time Spiral,2006-10-06,5
668,blue,hexproof,Aether Revolt,2017-01-20,1
669,blue,hexproof,Avacyn Restored,2012-05-04,2
670,blue,hexproof,Born of the Gods,2014-02-07,1
671,blue,hexproof,Commander 2014,2014-11-07,1
672,blue,hexproof,Conspiracy: Take the Crown,2016-08-26,1
673,blue,hexproof,Core Set 2019,2018-07-13,1
674,blue,hexproof,Dark Ascension,2012-02-03,1
675,blue,hexproof,Dominaria,2018-04-27,1
676,blue,hexproof,Dragon's Maze,2013-05-03,1
677,blue,hexproof,Dragons of Tarkir,2015-03-27,2
678,blue,hexproof,Eventide,2008-07-25,1
679,blue,hexproof,Fate Reforged,2015-01-23,1
680,blue,hexproof,Gatecrash,2013-02-01,1
681,blue,hexproof,Guilds of Ravnica,2018-10-05,1
682,blue,hexproof,Hour of Devastation,2017-07-14,1
683,blue,hexproof,Innistrad,2011-09-30,2
684,blue,hexproof,Journey into Nyx,2014-05-02,1
685,blue,hexproof,Kaladesh,2016-09-30,1
686,blue,hexproof,Khans of Tarkir,2014-09-26,4
687,blue,hexproof,Magic 2012,2011-07-15,2
688,blue,hexproof,Magic: The Gathering—Conspiracy,2014-06-06,1
689,blue,hexproof,Oath of the Gatewatch,2016-01-22,1
690,blue,hexproof,Rivals of Ixalan,2018-01-19,2
691,blue,hexproof,Shadows over Innistrad,2016-04-08,2
692,blue,hexproof,Theros,2013-09-27,2
693,blue,indestructible,Amonkhet,2017-04-28,1
694,blue,indestructible,Born of the Gods,2014-02-07,2
695,blue,indestructible,Champions of Kamigawa,2004-10-01,1
696,blue,indestructible,Journey into Nyx,2014-05-02,2
697,blue,indestructible,Magic 2015 Core Set,2014-07-18,1
698,blue,indestructible,Shadows over Innistrad,2016-04-08,1
699,blue,indestructible,Theros,2013-09-27,1
700,blue,lifelink,Alara Reborn,2009-04-30,1
701,blue,lifelink,Born of the Gods,2014-02-07,1
702,blue,lifelink,Commander 2013 Edition,2013-11-01,1
703,blue,lifelink,Commander 2016,2016-11-11,1
704,blue,lifelink,Dark Ascension,2012-02-03,1
705,blue,lifelink,Kaladesh,2016-09-30,1
706,blue,lifelink,Khans of Tarkir,2014-09-26,1
707,blue,lifelink,Magic 2013,2012-07-13,1
708,blue,lifelink,Magic 2015 Core Set,2014-07-18,1
709,blue,lifelink,Shards of Alara,2008-10-03,2
710,blue,lifelink,Worldwake,2010-02-05,1
711,blue,menace,Commander 2018,2018-08-10,1
712,blue,menace,Guilds of Ravnica,2018-10-05,1
713,blue,menace,Ice Age,1995-06-01,1
714,blue,menace,Shards of Alara,2008-10-03,1
715,blue,reach,Alliances,1996-06-10,2
716,blue,reach,Avacyn Restored,2012-05-04,1
717,blue,reach,Commander 2014,2014-11-07,1
718,blue,reach,Global Series: Jiang Yanggu and Mu Yanling,2018-06-22,3
719,blue,reach,Invasion,2000-10-02,1
720,blue,reach,Judgment,2002-05-27,1
721,blue,reach,Limited Edition Alpha,1993-08-05,2
722,blue,reach,Magic 2015 Core Set,2014-07-18,2
723,blue,reach,Magic Origins,2015-07-17,3
724,blue,reach,Mercadian Masques,1999-10-04,1
725,blue,reach,Mirage,1996-10-08,1
726,blue,reach,Odyssey,2001-10-01,2
727,blue,reach,Onslaught,2002-10-07,1
728,blue,reach,Prophecy,2000-06-05,1
729,blue,reach,Theros,2013-09-27,1
730,blue,reach,Urza's Destiny,1999-06-07,1
731,blue,reach,Urza's Legacy,1999-02-15,1
732,blue,reach,Weatherlight,1997-06-09,1
733,blue,reach,Zendikar,2009-10-02,1
734,blue,trample,Alliances,1996-06-10,1
735,blue,trample,Apocalypse,2001-06-04,2
736,blue,trample,Born of the Gods,2014-02-07,1
737,blue,trample,Champions of Kamigawa,2004-10-01,1
738,blue,trample,Coldsnap,2006-07-21,1
739,blue,trample,Commander 2013 Edition,2013-11-01,1
740,blue,trample,Commander 2016,2016-11-11,1
741,blue,trample,Commander 2017,2017-08-25,1
742,blue,trample,Conflux,2009-02-06,3
743,blue,trample,Dissension,2006-05-05,2
744,blue,trample,Eventide,2008-07-25,1
745,blue,trample,Fallen Empires,1994-11-15,1
746,blue,trample,Fifth Dawn,2004-06-04,1
747,blue,trample,Gatecrash,2013-02-01,1
748,blue,trample,Guildpact,2006-02-03,1
749,blue,trample,Guilds of Ravnica,2018-10-05,1
750,blue,trample,Ice Age,1995-06-01,2
751,blue,trample,Innistrad,2011-09-30,2
752,blue,trample,Kaladesh,2016-09-30,1
753,blue,trample,Khans of Tarkir,2014-09-26,4
754,blue,trample,Lorwyn,2007-10-12,1
755,blue,trample,Magic 2015 Core Set,2014-07-18,1
756,blue,trample,Magic: The Gathering-Commander,2011-06-17,1
757,blue,trample,Mirage,1996-10-08,2
758,blue,trample,Ravnica: City of Guilds,2005-10-07,1
759,blue,trample,Tempest,1997-10-14,1
760,blue,trample,The Dark,1994-08-08,2
761,blue,trample,Theros,2013-09-27,2
762,blue,trample,Urza's Legacy,1999-02-15,1
763,blue,trample,Visions,1997-02-03,1
764,blue,vigilance,Alara Reborn,2009-04-30,1
765,blue,vigilance,Amonkhet,2017-04-28,1
766,blue,vigilance,Apocalypse,2001-06-04,1
767,blue,vigilance,Avacyn Restored,2012-05-04,1
768,blue,vigilance,Born of the Gods,2014-02-07,1
769,blue,vigilance,Commander 2013 Edition,2013-11-01,1
770,blue,vigilance,Commander 2016,2016-11-11,1
771,blue,vigilance,Commander 2018,2018-08-10,1
772,blue,vigilance,Conflux,2009-02-06,2
773,blue,vigilance,Core Set 2019,2018-07-13,1
774,blue,vigilance,Dissension,2006-05-05,2
775,blue,vigilance,Dragon's Maze,2013-05-03,1
776,blue,vigilance,Fate Reforged,2015-01-23,1
777,blue,vigilance,Invasion,2000-10-02,1
778,blue,vigilance,Khans of Tarkir,2014-09-26,1
779,blue,vigilance,Legends,1994-06-10,1
780,blue,vigilance,Lorwyn,2007-10-12,1
781,blue,vigilance,Mirage,1996-10-08,1
782,blue,vigilance,Planar Chaos,2007-02-02,3
783,blue,vigilance,Return to Ravnica,2012-10-05,1
784,blue,vigilance,Shards of Alara,2008-10-03,2
785,blue,vigilance,Time Spiral,2006-10-06,1
786,blue,vigilance,Visions,1997-02-03,1
787,green,deathtouch,Aether Revolt,2017-01-20,1
788,green,deathtouch,Alara Reborn,2009-04-30,1
789,green,deathtouch,Amonkhet,2017-04-28,3
790,green,deathtouch,Avacyn Restored,2012-05-04,1
791,green,deathtouch,Commander 2015,2015-11-13,1
792,green,deathtouch,Commander 2016,2016-11-11,1
793,green,deathtouch,Commander 2017,2017-08-25,1
794,green,deathtouch,Conspiracy: Take the Crown,2016-08-26,1
795,green,deathtouch,Core Set 2019,2018-07-13,1
796,green,deathtouch,Dark Ascension,2012-02-03,1
797,green,deathtouch,Dragon's Maze,2013-05-03,1
798,green,deathtouch,Dragons of Tarkir,2015-03-27,1
799,green,deathtouch,Eldritch Moon,2016-07-22,1
800,green,deathtouch,Future Sight,2007-05-04,1
801,green,deathtouch,Gatecrash,2013-02-01,1
802,green,deathtouch,Guilds of Ravnica,2018-10-05,2
803,green,deathtouch,Hour of Devastation,2017-07-14,2
804,green,deathtouch,Innistrad,2011-09-30,1
805,green,deathtouch,Journey into Nyx,2014-05-02,2
806,green,deathtouch,Khans of Tarkir,2014-09-26,1
807,green,deathtouch,Lorwyn,2007-10-12,2
808,green,deathtouch,Magic 2010,2009-07-17,2
809,green,deathtouch,Magic 2011,2010-07-16,1
810,green,deathtouch,Magic 2013,2012-07-13,1
811,green,deathtouch,Magic 2015 Core Set,2014-07-18,2
812,green,deathtouch,Magic Origins,2015-07-17,1
813,green,deathtouch,Magic: The Gathering-Commander,2011-06-17,2
814,green,deathtouch,Mirrodin Besieged,2011-02-04,1
815,green,deathtouch,New Phyrexia,2011-05-13,1
816,green,deathtouch,Return to Ravnica,2012-10-05,1
817,green,deathtouch,Rise of the Eldrazi,2010-04-23,1
818,green,deathtouch,Shadows over Innistrad,2016-04-08,2
819,green,deathtouch,Theros,2013-09-27,2
820,green,deathtouch,Zendikar,2009-10-02,1
821,green,defender,Alliances,1996-06-10,2
822,green,defender,Apocalypse,2001-06-04,1
823,green,defender,Battle for Zendikar,2015-10-02,1
824,green,defender,Betrayers of Kamigawa,2005-02-04,1
825,green,defender,Core Set 2019,2018-07-13,1
826,green,defender,Darksteel,2004-02-06,1
827,green,defender,Dissension,2006-05-05,1
828,green,defender,Dragons of Tarkir,2015-03-27,1
829,green,defender,Eldritch Moon,2016-07-22,1
830,green,defender,Fate Reforged,2015-01-23,1
831,green,defender,Guilds of Ravnica,2018-10-05,2
832,green,defender,Ice Age,1995-06-01,2
833,green,defender,Innistrad,2011-09-30,2
834,green,defender,Khans of Tarkir,2014-09-26,1
835,green,defender,Limited Edition Alpha,1993-08-05,3
836,green,defender,Magic 2011,2010-07-16,1
837,green,defender,Magic 2015 Core Set,2014-07-18,1
838,green,defender,Mercadian Masques,1999-10-04,1
839,green,defender,Mirage,1996-10-08,3
840,green,defender,Onslaught,2002-10-07,1
841,green,defender,Planar Chaos,2007-02-02,1
842,green,defender,Ravnica: City of Guilds,2005-10-07,1
843,green,defender,Return to Ravnica,2012-10-05,3
844,green,defender,Rise of the Eldrazi,2010-04-23,1
845,green,defender,Stronghold,1998-03-02,1
846,green,defender,The Dark,1994-08-08,1
847,green,defender,Theros,2013-09-27,1
848,green,defender,Time Spiral,2006-10-06,1
849,green,double strike,Alara Reborn,2009-04-30,1
850,green,double strike,Amonkhet,2017-04-28,1
851,green,double strike,Conspiracy: Take the Crown,2016-08-26,1
852,green,double strike,Dragon's Maze,2013-05-03,1
853,green,double strike,Fate Reforged,2015-01-23,1
854,green,double strike,Hour of Devastation,2017-07-14,1
855,green,double strike,Shadows over Innistrad,2016-04-08,1
856,green,double strike,Shards of Alara,2008-10-03,1
857,green,first strike,Alara Reborn,2009-04-30,1
858,green,first strike,Born of the Gods,2014-02-07,1
859,green,first strike,Commander 2017,2017-08-25,1
860,green,first strike,Conflux,2009-02-06,1
861,green,first strike,Conspiracy: Take the Crown,2016-08-26,1
862,green,first strike,Duel Decks: Zendikar vs. Eldrazi,2015-08-28,1
863,green,first strike,Exodus,1998-06-15,1
864,green,first strike,Gatecrash,2013-02-01,1
865,green,first strike,Homelands,1995-10-14,1
866,green,first strike,Hour of Devastation,2017-07-14,1
867,green,first strike,Invasion,2000-10-02,3
868,green,first strike,Legends,1994-06-10,5
869,green,first strike,Limited Edition Alpha,1993-08-05,1
870,green,first strike,Mirage,1996-10-08,1
871,green,first strike,Mirrodin,2003-10-02,1
872,green,first strike,Mirrodin Besieged,2011-02-04,1
873,green,first strike,Planeshift,2001-02-05,2
874,green,first strike,Shards of Alara,2008-10-03,1
875,green,first strike,Tempest,1997-10-14,1
876,green,first strike,The Dark,1994-08-08,2
877,green,flash,Alara Reborn,2009-04-30,1
878,green,flash,Amonkhet,2017-04-28,2
879,green,flash,Apocalypse,2001-06-04,1
880,green,flash,Avacyn Restored,2012-05-04,1
881,green,flash,Commander 2015,2015-11-13,1
882,green,flash,Conflux,2009-02-06,1
883,green,flash,Dark Ascension,2012-02-03,1
884,green,flash,Darksteel,2004-02-06,1
885,green,flash,Dragon's Maze,2013-05-03,1
886,green,flash,Eldritch Moon,2016-07-22,3
887,green,flash,Eventide,2008-07-25,1
888,green,flash,Gatecrash,2013-02-01,2
889,green,flash,Innistrad,2011-09-30,1
890,green,flash,Invasion,2000-10-02,1
891,green,flash,Ixalan,2017-09-29,1
892,green,flash,Journey into Nyx,2014-05-02,1
893,green,flash,Khans of Tarkir,2014-09-26,1
894,green,flash,Legions,2003-02-03,2
895,green,flash,Lorwyn,2007-10-12,2
896,green,flash,Magic 2013,2012-07-13,1
897,green,flash,Magic Origins,2015-07-17,1
898,green,flash,Mercadian Masques,1999-10-04,1
899,green,flash,Multiverse Gift Box,1996-11-01,1
900,green,flash,Planeshift,2001-02-05,1
901,green,flash,Rise of the Eldrazi,2010-04-23,1
902,green,flash,Rivals of Ixalan,2018-01-19,2
903,green,flash,Shadows over Innistrad,2016-04-08,1
904,green,flash,Shards of Alara,2008-10-03,1
905,green,flash,Theros,2013-09-27,3
906,green,flash,Time Spiral,2006-10-06,3
907,green,flash,Urza's Legacy,1999-02-15,1
908,green,flying,Aether Revolt,2017-01-20,1
909,green,flying,Alara Reborn,2009-04-30,8
910,green,flying,Alliances,1996-06-10,3
911,green,flying,Apocalypse,2001-06-04,4
912,green,flying,Arabian Nights,1993-12-17,1
913,green,flying,Avacyn Restored,2012-05-04,1
914,green,flying,Battle for Zendikar,2015-10-02,1
915,green,flying,Battlebond,2018-06-08,1
916,green,flying,Betrayers of Kamigawa,2005-02-04,2
917,green,flying,Born of the Gods,2014-02-07,1
918,green,flying,Champions of Kamigawa,2004-10-01,3
919,green,flying,Coldsnap,2006-07-21,3
920,green,flying,Commander 2013 Edition,2013-11-01,2
921,green,flying,Commander 2015,2015-11-13,1
922,green,flying,Commander 2016,2016-11-11,2
923,green,flying,Commander 2017,2017-08-25,3
924,green,flying,Commander 2018,2018-08-10,1
925,green,flying,Conflux,2009-02-06,4
926,green,flying,Conspiracy: Take the Crown,2016-08-26,1
927,green,flying,Core Set 2019,2018-07-13,7
928,green,flying,Dark Ascension,2012-02-03,1
929,green,flying,Darksteel,2004-02-06,1
930,green,flying,Dissension,2006-05-05,5
931,green,flying,Dominaria,2018-04-27,1
932,green,flying,Dragon's Maze,2013-05-03,2
933,green,flying,Dragons of Tarkir,2015-03-27,10
934,green,flying,Eldritch Moon,2016-07-22,1
935,green,flying,Eventide,2008-07-25,2
936,green,flying,Fate Reforged,2015-01-23,4
937,green,flying,Fifth Dawn,2004-06-04,2
938,green,flying,From the Vault: Dragons,2008-08-29,1
939,green,flying,Future Sight,2007-05-04,1
940,green,flying,Gatecrash,2013-02-01,4
941,green,flying,Global Series: Jiang Yanggu and Mu Yanling,2018-06-22,1
942,green,flying,Guildpact,2006-02-03,2
943,green,flying,Guilds of Ravnica,2018-10-05,1
944,green,flying,Homelands,1995-10-14,4
945,green,flying,Hour of Devastation,2017-07-14,2
946,green,flying,Ice Age,1995-06-01,5
947,green,flying,Innistrad,2011-09-30,3
948,green,flying,Invasion,2000-10-02,5
949,green,flying,Journey into Nyx,2014-05-02,2
950,green,flying,Judgment,2002-05-27,1
951,green,flying,Kaladesh,2016-09-30,3
952,green,flying,Khans of Tarkir,2014-09-26,5
953,green,flying,Legends,1994-06-10,12
954,green,flying,Legions,2003-02-03,1
955,green,flying,Limited Edition Alpha,1993-08-05,4
956,green,flying,Lorwyn,2007-10-12,3
957,green,flying,Magic 2010,2009-07-17,1
958,green,flying,Magic 2011,2010-07-16,1
959,green,flying,Magic 2012,2011-07-15,2
960,green,flying,Magic 2013,2012-07-13,1
961,green,flying,Magic 2015 Core Set,2014-07-18,2
962,green,flying,Magic Origins,2015-07-17,2
963,green,flying,Magic: The Gathering-Commander,2011-06-17,1
964,green,flying,Mercadian Masques,1999-10-04,3
965,green,flying,Mirage,1996-10-08,9
966,green,flying,Mirrodin,2003-10-02,1
967,green,flying,Mirrodin Besieged,2011-02-04,1
968,green,flying,Morningtide,2008-02-01,1
969,green,flying,Odyssey,2001-10-01,3
970,green,flying,Onslaught,2002-10-07,3
971,green,flying,Planar Chaos,2007-02-02,5
972,green,flying,Planechase 2012 Edition,2012-06-01,1
973,green,flying,Planeshift,2001-02-05,2
974,green,flying,Portal,1997-05-01,1
975,green,flying,Portal Second Age,1998-06-24,2
976,green,flying,Prophecy,2000-06-05,2
977,green,flying,Ravnica: City of Guilds,2005-10-07,7
978,green,flying,Return to Ravnica,2012-10-05,2
979,green,flying,Rise of the Eldrazi,2010-04-23,1
980,green,flying,Saviors of Kamigawa,2005-06-03,3
981,green,flying,Scars of Mirrodin,2010-10-01,1
982,green,flying,Scourge,2003-05-26,2
983,green,flying,Shadowmoor,2008-05-02,2
984,green,flying,Shadows over Innistrad,2016-04-08,2
985,green,flying,Shards of Alara,2008-10-03,6
986,green,flying,Stronghold,1998-03-02,1
987,green,flying,Tempest,1997-10-14,3
988,green,flying,Theros,2013-09-27,2
989,green,flying,Time Spiral,2006-10-06,4
990,green,flying,Torment,2002-02-08,1
991,green,flying,Urza's Destiny,1999-06-07,1
992,green,flying,Urza's Saga,1998-10-12,2
993,green,flying,Visions,1997-02-03,3
994,green,flying,Worldwake,2010-02-05,1
995,green,flying,Zendikar,2009-10-02,2
996,green,haste,Alara Reborn,2009-04-30,6
997,green,haste,Alliances,1996-06-10,1
998,green,haste,Amonkhet,2017-04-28,2
999,green,haste,Avacyn Restored,2012-05-04,1
1000,green,haste,Battle for Zendikar,2015-10-02,1
1001,green,haste,Born of the Gods,2014-02-07,2
1002,green,haste,Coldsnap,2006-07-21,1
1003,green,haste,Commander 2016,2016-11-11,1
1004,green,haste,Conflux,2009-02-06,2
1005,green,haste,Conspiracy: Take the Crown,2016-08-26,1
1006,green,haste,Dark Ascension,2012-02-03,1
1007,green,haste,Dominaria,2018-04-27,2
1008,green,haste,Dragons of Tarkir,2015-03-27,1
1009,green,haste,Duel Decks: Izzet vs. Golgari,2012-09-07,1
1010,green,haste,Eldritch Moon,2016-07-22,1
1011,green,haste,Fate Reforged,2015-01-23,1
1012,green,haste,From the Vault: Dragons,2008-08-29,1
1013,green,haste,Guildpact,2006-02-03,2
1014,green,haste,Guilds of Ravnica,2018-10-05,1
1015,green,haste,Hour of Devastation,2017-07-14,1
1016,green,haste,Invasion,2000-10-02,2
1017,green,haste,Ixalan,2017-09-29,3
1018,green,haste,Khans of Tarkir,2014-09-26,2
1019,green,haste,Lorwyn,2007-10-12,1
1020,green,haste,Magic 2011,2010-07-16,1
1021,green,haste,Magic 2013,2012-07-13,1
1022,green,haste,Magic: The Gathering-Commander,2011-06-17,1
1023,green,haste,Oath of the Gatewatch,2016-01-22,1
1024,green,haste,Planar Chaos,2007-02-02,8
1025,green,haste,Planechase 2012 Edition,2012-06-01,1
1026,green,haste,Rise of the Eldrazi,2010-04-23,1
1027,green,haste,Scars of Mirrodin,2010-10-01,1
1028,green,haste,Scourge,2003-05-26,1
1029,green,haste,Shadowmoor,2008-05-02,1
1030,green,haste,Shards of Alara,2008-10-03,1
1031,green,haste,Theros,2013-09-27,1
1032,green,haste,Time Spiral,2006-10-06,3
1033,green,haste,Torment,2002-02-08,1
1034,green,hexproof,Alara Reborn,2009-04-30,1
1035,green,hexproof,Amonkhet,2017-04-28,1
1036,green,hexproof,Avacyn Restored,2012-05-04,1
1037,green,hexproof,Battle for Zendikar,2015-10-02,1
1038,green,hexproof,Born of the Gods,2014-02-07,1
1039,green,hexproof,Commander 2014,2014-11-07,1
1040,green,hexproof,Conspiracy: Take the Crown,2016-08-26,1
1041,green,hexproof,Core Set 2019,2018-07-13,2
1042,green,hexproof,Dragons of Tarkir,2015-03-27,1
1043,green,hexproof,Eventide,2008-07-25,1
1044,green,hexproof,Guildpact,2006-02-03,1
1045,green,hexproof,Guilds of Ravnica,2018-10-05,2
1046,green,hexproof,Hour of Devastation,2017-07-14,1
1047,green,hexproof,Innistrad,2011-09-30,1
1048,green,hexproof,Ixalan,2017-09-29,2
1049,green,hexproof,Journey into Nyx,2014-05-02,1
1050,green,hexproof,Kaladesh,2016-09-30,1
1051,green,hexproof,Khans of Tarkir,2014-09-26,1
1052,green,hexproof,Magic 2011,2010-07-16,1
1053,green,hexproof,Magic 2012,2011-07-15,2
1054,green,hexproof,Magic 2013,2012-07-13,2
1055,green,hexproof,Magic 2014 Core Set,2013-07-19,1
1056,green,hexproof,Mirrodin,2003-10-02,2
1057,green,hexproof,Mirrodin Besieged,2011-02-04,1
1058,green,hexproof,Portal Three Kingdoms,1999-05-01,2
1059,green,hexproof,Return to Ravnica,2012-10-05,2
1060,green,hexproof,Rivals of Ixalan,2018-01-19,2
1061,green,hexproof,Shadowmoor,2008-05-02,1
1062,green,hexproof,Shadows over Innistrad,2016-04-08,2
1063,green,hexproof,Theros,2013-09-27,3
1064,green,indestructible,Alara Reborn,2009-04-30,1
1065,green,indestructible,Amonkhet,2017-04-28,1
1066,green,indestructible,Born of the Gods,2014-02-07,2
1067,green,indestructible,Champions of Kamigawa,2004-10-01,1
1068,green,indestructible,Commander 2016,2016-11-11,1
1069,green,indestructible,Conflux,2009-02-06,1
1070,green,indestructible,Conspiracy: Take the Crown,2016-08-26,1
1071,green,indestructible,Dark Ascension,2012-02-03,1
1072,green,indestructible,Eventide,2008-07-25,1
1073,green,indestructible,Fate Reforged,2015-01-23,1
1074,green,indestructible,Guilds of Ravnica,2018-10-05,3
1075,green,indestructible,Hour of Devastation,2017-07-14,1
1076,green,indestructible,Journey into Nyx,2014-05-02,2
1077,green,indestructible,Kaladesh,2016-09-30,1
1078,green,indestructible,Lorwyn,2007-10-12,1
1079,green,indestructible,Magic 2015 Core Set,2014-07-18,1
1080,green,indestructible,Shards of Alara,2008-10-03,1
1081,green,indestructible,Theros,2013-09-27,2
1082,green,lifelink,Born of the Gods,2014-02-07,1
1083,green,lifelink,Commander 2016,2016-11-11,1
1084,green,lifelink,Conflux,2009-02-06,1
1085,green,lifelink,Conspiracy: Take the Crown,2016-08-26,1
1086,green,lifelink,Dragons of Tarkir,2015-03-27,1
1087,green,lifelink,Eldritch Moon,2016-07-22,1
1088,green,lifelink,Fate Reforged,2015-01-23,2
1089,green,lifelink,Guilds of Ravnica,2018-10-05,3
1090,green,lifelink,Hour of Devastation,2017-07-14,2
1091,green,lifelink,Khans of Tarkir,2014-09-26,1
1092,green,lifelink,Planechase 2012 Edition,2012-06-01,1
1093,green,lifelink,Return to Ravnica,2012-10-05,1
1094,green,lifelink,Shards of Alara,2008-10-03,1
1095,green,menace,Champions of Kamigawa,2004-10-01,1
1096,green,menace,Commander 2016,2016-11-11,1
1097,green,menace,Conspiracy: Take the Crown,2016-08-26,1
1098,green,menace,Guildpact,2006-02-03,1
1099,green,menace,Guilds of Ravnica,2018-10-05,1
1100,green,menace,Hour of Devastation,2017-07-14,1
1101,green,menace,Worldwake,2010-02-05,1
1102,green,reach,Aether Revolt,2017-01-20,1
1103,green,reach,Alara Reborn,2009-04-30,1
1104,green,reach,Alliances,1996-06-10,2
1105,green,reach,Avacyn Restored,2012-05-04,1
1106,green,reach,Battlebond,2018-06-08,1
