,color,keyword,set,release_date,count
125,black,flying,Aether Revolt,2017-01-20,3
126,black,flying,Alara Reborn,2009-04-30,9
127,black,flying,Alliances,1996-06-10,2
128,black,flying,Amonkhet,2017-04-28,4
129,black,flying,Antiquities,1994-03-04,1
130,black,flying,Apocalypse,2001-06-04,2
131,black,flying,Arabian Nights,1993-12-17,1
132,black,flying,Avacyn Restored,2012-05-04,5
133,black,flying,Battle for Zendikar,2015-10-02,6
134,black,flying,Battlebond,2018-06-08,2
135,black,flying,Born of the Gods,2014-02-07,5
136,black,flying,Champions of Kamigawa,2004-10-01,6
137,black,flying,Coldsnap,2006-07-21,8
138,black,flying,Commander 2013 Edition,2013-11-01,2
139,black,flying,Commander 2014,2014-11-07,2
140,black,flying,Commander 2015,2015-11-13,3
141,black,flying,Commander 2016,2016-11-11,3
142,black,flying,Commander 2017,2017-08-25,6
143,black,flying,Commander 2018,2018-08-10,3
144,black,flying,Conflux,2009-02-06,8
145,black,flying,Conspiracy: Take the Crown,2016-08-26,1
146,black,flying,Core Set 2019,2018-07-13,12
147,black,flying,Dark Ascension,2012-02-03,6
148,black,flying,Darksteel,2004-02-06,2
149,black,flying,Dissension,2006-05-05,3
150,black,flying,Dominaria,2018-04-27,5
151,black,flying,Dragon's Maze,2013-05-03,4
152,black,flying,Dragons of Tarkir,2015-03-27,10
153,black,flying,Duel Decks: Blessed vs. Cursed,2016-02-26,1
154,black,flying,Eldritch Moon,2016-07-22,4
155,black,flying,Eventide,2008-07-25,7
156,black,flying,Exodus,1998-06-15,1
157,black,flying,Fate Reforged,2015-01-23,5
158,black,flying,Fifth Dawn,2004-06-04,3
159,black,flying,From the Vault: Dragons,2008-08-29,1
160,black,flying,Future Sight,2007-05-04,3
161,black,flying,Gatecrash,2013-02-01,8
162,black,flying,Guildpact,2006-02-03,6
163,black,flying,Guilds of Ravnica,2018-10-05,7
164,black,flying,Homelands,1995-10-14,3
165,black,flying,Hour of Devastation,2017-07-14,4
166,black,flying,Ice Age,1995-06-01,3
167,black,flying,Innistrad,2011-09-30,9
168,black,flying,Invasion,2000-10-02,9
169,black,flying,Ixalan,2017-09-29,4
170,black,flying,Journey into Nyx,2014-05-02,1
171,black,flying,Judgment,2002-05-27,1
172,black,flying,Kaladesh,2016-09-30,3
173,black,flying,Khans of Tarkir,2014-09-26,7
174,black,flying,Legends,1994-06-10,6
175,black,flying,Legions,2003-02-03,3
176,black,flying,Limited Edition Alpha,1993-08-05,5
177,black,flying,Lorwyn,2007-10-12,8
178,black,flying,Magic 2010,2009-07-17,4
179,black,flying,Magic 2011,2010-07-16,3
180,black,flying,Magic 2012,2011-07-15,5
181,black,flying,Magic 2013,2012-07-13,2
182,black,flying,Magic 2014 Core Set,2013-07-19,2
183,black,flying,Magic 2015 Core Set,2014-07-18,4
184,black,flying,Magic Origins,2015-07-17,4
185,black,flying,Magic: The Gathering-Commander,2011-06-17,4
186,black,flying,Magic: The Gathering—Conspiracy,2014-06-06,1
187,black,flying,Mercadian Masques,1999-10-04,2
188,black,flying,Mirage,1996-10-08,8
189,black,flying,Mirrodin,2003-10-02,3
190,black,flying,Mirrodin Besieged,2011-02-04,2
191,black,flying,Morningtide,2008-02-01,4
192,black,flying,Nemesis,2000-02-14,3
193,black,flying,New Phyrexia,2011-05-13,4
194,black,flying,Oath of the Gatewatch,2016-01-22,2
195,black,flying,Odyssey,2001-10-01,8
196,black,flying,Onslaught,2002-10-07,4
197,black,flying,Planar Chaos,2007-02-02,4
198,black,flying,Planechase 2012 Edition,2012-06-01,1
199,black,flying,Planeshift,2001-02-05,3
200,black,flying,Portal,1997-05-01,3
201,black,flying,Portal Second Age,1998-06-24,4
202,black,flying,Prophecy,2000-06-05,2
203,black,flying,Ravnica: City of Guilds,2005-10-07,7
204,black,flying,Return to Ravnica,2012-10-05,7
205,black,flying,Rise of the Eldrazi,2010-04-23,5
206,black,flying,Rivals of Ixalan,2018-01-19,4
207,black,flying,Saviors of Kamigawa,2005-06-03,2
208,black,flying,Scars of Mirrodin,2010-10-01,5
209,black,flying,Scourge,2003-05-26,4
210,black,flying,Shadowmoor,2008-05-02,8
211,black,flying,Shadows over Innistrad,2016-04-08,6
212,black,flying,Shards of Alara,2008-10-03,12
213,black,flying,Starter 1999,1999-07-12,1
214,black,flying,Stronghold,1998-03-02,4
215,black,flying,Tempest,1997-10-14,6
216,black,flying,The Dark,1994-08-08,1
217,black,flying,Theros,2013-09-27,6
218,black,flying,Time Spiral,2006-10-06,5
219,black,flying,Torment,2002-02-08,6
220,black,flying,Urza's Destiny,1999-06-07,1
221,black,flying,Urza's Legacy,1999-02-15,4
222,black,flying,Urza's Saga,1998-10-12,6
223,black,flying,Visions,1997-02-03,1
224,black,flying,Weatherlight,1997-06-09,4
225,black,flying,Worldwake,2010-02-05,3
226,black,flying,Zendikar,2009-10-02,4
227,black,haste,Aether Revolt,2017-01-20,1
228,black,haste,Alara Reborn,2009-04-30,11
229,black,haste,Alliances,1996-06-10,1
230,black,haste,Amonkhet,2017-04-28,1
231,black,haste,Battlebond,2018-06-08,1
232,black,haste,Coldsnap,2006-07-21,2
233,black,haste,Commander 2016,2016-11-11,1
234,black,haste,Commander 2017,2017-08-25,2
235,black,haste,Conflux,2009-02-06,4
236,black,haste,Conspiracy: Take the Crown,2016-08-26,1
237,black,haste,Dark Ascension,2012-02-03,1
238,black,haste,Dissension,2006-05-05,2
239,black,haste,Dominaria,2018-04-27,2
240,black,haste,Dragon's Maze,2013-05-03,2
241,black,haste,Dragons of Tarkir,2015-03-27,6
242,black,haste,Duel Decks: Izzet vs. Golgari,2012-09-07,1
243,black,haste,Duel Decks: Speed vs. Cunning,2014-09-05,1
244,black,haste,Eldritch Moon,2016-07-22,2
245,black,haste,Fate Reforged,2015-01-23,5
246,black,haste,From the Vault: Dragons,2008-08-29,1
247,black,haste,Future Sight,2007-05-04,2
248,black,haste,Gatecrash,2013-02-01,1
249,black,haste,Ice Age,1995-06-01,1
250,black,haste,Innistrad,2011-09-30,1
251,black,haste,Invasion,2000-10-02,1
252,black,haste,Khans of Tarkir,2014-09-26,4
253,black,haste,Limited Edition Alpha,1993-08-05,1
254,black,haste,Lorwyn,2007-10-12,3
255,black,haste,Magic 2013,2012-07-13,1
256,black,haste,Magic: The Gathering-Commander,2011-06-17,1
257,black,haste,Mirage,1996-10-08,1
258,black,haste,Morningtide,2008-02-01,1
259,black,haste,Planar Chaos,2007-02-02,2
260,black,haste,Return to Ravnica,2012-10-05,3
261,black,haste,Saviors of Kamigawa,2005-06-03,1
262,black,haste,Scars of Mirrodin,2010-10-01,2
263,black,haste,Scourge,2003-05-26,1
264,black,haste,Shadowmoor,2008-05-02,3
265,black,haste,Shadows over Innistrad,2016-04-08,3
266,black,haste,Shards of Alara,2008-10-03,7
267,black,haste,Theros,2013-09-27,2
268,black,haste,Time Spiral,2006-10-06,2
269,black,haste,Torment,2002-02-08,1
270,black,haste,Urza's Destiny,1999-06-07,1
271,black,haste,Urza's Saga,1998-10-12,1
272,black,haste,Zendikar,2009-10-02,2
273,black,hexproof,Core Set 2019,2018-07-13,1
274,black,hexproof,Dominaria,2018-04-27,1
275,black,hexproof,Fate Reforged,2015-01-23,2
276,black,hexproof,Gatecrash,2013-02-01,2
277,black,hexproof,Guilds of Ravnica,2018-10-05,1
278,black,hexproof,Magic 2015 Core Set,2014-07-18,1
279,black,hexproof,Theros,2013-09-27,1
280,black,indestructible,Aether Revolt,2017-01-20,1
281,black,indestructible,Amonkhet,2017-04-28,2
282,black,indestructible,Arabian Nights,1993-12-17,1
283,black,indestructible,Born of the Gods,2014-02-07,2
284,black,indestructible,Champions of Kamigawa,2004-10-01,1
285,black,indestructible,Dark Ascension,2012-02-03,1
286,black,indestructible,Dominaria,2018-04-27,1
287,black,indestructible,Duel Decks: Speed vs. Cunning,2014-09-05,1
288,black,indestructible,Eventide,2008-07-25,1
289,black,indestructible,Fate Reforged,2015-01-23,1
290,black,indestructible,Guilds of Ravnica,2018-10-05,1
291,black,indestructible,Hour of Devastation,2017-07-14,1
292,black,indestructible,Journey into Nyx,2014-05-02,2
293,black,indestructible,Kaladesh,2016-09-30,1
294,black,indestructible,Magic 2011,2010-07-16,1
295,black,indestructible,Magic 2015 Core Set,2014-07-18,1
296,black,indestructible,Magic Origins,2015-07-17,1
297,black,indestructible,Shadows over Innistrad,2016-04-08,1
298,black,indestructible,Theros,2013-09-27,1
299,black,lifelink,Aether Revolt,2017-01-20,1
300,black,lifelink,Alara Reborn,2009-04-30,1
301,black,lifelink,Amonkhet,2017-04-28,1
302,black,lifelink,Avacyn Restored,2012-05-04,1
303,black,lifelink,Born of the Gods,2014-02-07,1
304,black,lifelink,Commander 2013 Edition,2013-11-01,1
305,black,lifelink,Commander 2016,2016-11-11,2
306,black,lifelink,Commander 2017,2017-08-25,2
307,black,lifelink,Dominaria,2018-04-27,1
308,black,lifelink,Dragon's Maze,2013-05-03,2
309,black,lifelink,Eldritch Moon,2016-07-22,2
310,black,lifelink,Eventide,2008-07-25,3
311,black,lifelink,Fate Reforged,2015-01-23,1
312,black,lifelink,Gatecrash,2013-02-01,2
313,black,lifelink,Guilds of Ravnica,2018-10-05,1
314,black,lifelink,Hour of Devastation,2017-07-14,2
315,black,lifelink,Innistrad,2011-09-30,1
316,black,lifelink,Ixalan,2017-09-29,2
317,black,lifelink,Kaladesh,2016-09-30,2
318,black,lifelink,Khans of Tarkir,2014-09-26,3
319,black,lifelink,Lorwyn,2007-10-12,2
320,black,lifelink,Magic 2010,2009-07-17,1
321,black,lifelink,Magic 2012,2011-07-15,1
322,black,lifelink,Magic 2014 Core Set,2013-07-19,1
323,black,lifelink,Magic Origins,2015-07-17,2
324,black,lifelink,Magic: The Gathering-Commander,2011-06-17,1
325,black,lifelink,Mirrodin Besieged,2011-02-04,1
326,black,lifelink,New Phyrexia,2011-05-13,2
327,black,lifelink,Oath of the Gatewatch,2016-01-22,1
328,black,lifelink,Return to Ravnica,2012-10-05,2
329,black,lifelink,Rise of the Eldrazi,2010-04-23,1
330,black,lifelink,Rivals of Ixalan,2018-01-19,2
331,black,lifelink,Shadows over Innistrad,2016-04-08,3
332,black,lifelink,Shards of Alara,2008-10-03,1
333,black,lifelink,Theros,2013-09-27,1
334,black,lifelink,Zendikar,2009-10-02,1
335,black,menace,Aether Revolt,2017-01-20,2
336,black,menace,Amonkhet,2017-04-28,4
337,black,menace,Battle for Zendikar,2015-10-02,1
338,black,menace,Commander 2016,2016-11-11,1
339,black,menace,Commander 2017,2017-08-25,2
340,black,menace,Commander 2018,2018-08-10,2
341,black,menace,Conspiracy: Take the Crown,2016-08-26,1
342,black,menace,Core Set 2019,2018-07-13,2
343,black,menace,Dominaria,2018-04-27,2
344,black,menace,Dragons of Tarkir,2015-03-27,1
345,black,menace,Eldritch Moon,2016-07-22,1
346,black,menace,Guilds of Ravnica,2018-10-05,5
347,black,menace,Hour of Devastation,2017-07-14,1
348,black,menace,Ixalan,2017-09-29,3
349,black,menace,Kaladesh,2016-09-30,3
350,black,menace,Magic Origins,2015-07-17,1
351,black,menace,Masterpiece Series: Kaladesh Inventions,2016-09-30,1
352,black,menace,Rivals of Ixalan,2018-01-19,2
353,black,menace,Shadows over Innistrad,2016-04-08,3
354,black,menace,Shards of Alara,2008-10-03,1
355,black,reach,Antiquities,1994-03-04,1
356,black,reach,Avacyn Restored,2012-05-04,1
357,black,reach,Champions of Kamigawa,2004-10-01,1
358,black,reach,Commander 2018,2018-08-10,1
359,black,reach,Core Set 2019,2018-07-13,1
360,black,reach,Fate Reforged,2015-01-23,1
361,black,reach,Hour of Devastation,2017-07-14,1
362,black,reach,Journey into Nyx,2014-05-02,1
363,black,reach,Judgment,2002-05-27,2
364,black,reach,Legends,1994-06-10,1
365,black,reach,Limited Edition Alpha,1993-08-05,3
366,black,reach,Lorwyn,2007-10-12,1
367,black,reach,Magic 2015 Core Set,2014-07-18,2
368,black,reach,Magic Origins,2015-07-17,2
369,black,reach,Nemesis,2000-02-14,1
370,black,reach,Return to Ravnica,2012-10-05,1
371,black,reach,The Dark,1994-08-08,1
372,black,trample,Alliances,1996-06-10,1
373,black,trample,Apocalypse,2001-06-04,2
374,black,trample,Born of the Gods,2014-02-07,1
375,black,trample,Champions of Kamigawa,2004-10-01,1
376,black,trample,Coldsnap,2006-07-21,1
377,black,trample,Commander 2016,2016-11-11,1
378,black,trample,Commander 2017,2017-08-25,2
379,black,trample,Conflux,2009-02-06,3
380,black,trample,Core Set 2019,2018-07-13,1
381,black,trample,Dark Ascension,2012-02-03,2
382,black,trample,Dissension,2006-05-05,2
383,black,trample,Dominaria,2018-04-27,2
384,black,trample,Duel Decks: Blessed vs. Cursed,2016-02-26,1
385,black,trample,Eldritch Moon,2016-07-22,1
386,black,trample,Eventide,2008-07-25,2
387,black,trample,Fallen Empires,1994-11-15,1
388,black,trample,Fate Reforged,2015-01-23,1
389,black,trample,Fifth Dawn,2004-06-04,1
390,black,trample,From the Vault: Dragons,2008-08-29,1
391,black,trample,Guildpact,2006-02-03,1
392,black,trample,Guilds of Ravnica,2018-10-05,3
393,black,trample,Homelands,1995-10-14,1
394,black,trample,Hour of Devastation,2017-07-14,1
395,black,trample,Invasion,2000-10-02,1
396,black,trample,Judgment,2002-05-27,1
397,black,trample,Khans of Tarkir,2014-09-26,2
398,black,trample,Legends,1994-06-10,1
399,black,trample,Legions,2003-02-03,2
400,black,trample,Limited Edition Alpha,1993-08-05,1
401,black,trample,Lorwyn,2007-10-12,2
402,black,trample,Magic 2010,2009-07-17,1
403,black,trample,Magic 2011,2010-07-16,1
404,black,trample,Magic 2015 Core Set,2014-07-18,1
405,black,trample,Mercadian Masques,1999-10-04,1
406,black,trample,Mirage,1996-10-08,1
407,black,trample,New Phyrexia,2011-05-13,1
408,black,trample,Ravnica: City of Guilds,2005-10-07,3
409,black,trample,Return to Ravnica,2012-10-05,3
410,black,trample,Rise of the Eldrazi,2010-04-23,1
411,black,trample,Shards of Alara,2008-10-03,2
412,black,trample,Tempest,1997-10-14,1
413,black,trample,The Dark,1994-08-08,1
414,black,trample,Time Spiral,2006-10-06,1
415,black,trample,Urza's Destiny,1999-06-07,1
416,black,trample,Visions,1997-02-03,1
417,black,trample,Weatherlight,1997-06-09,1
418,black,trample,Worldwake,2010-02-05,1
419,black,vigilance,Alara Reborn,2009-04-30,1
420,black,vigilance,Born of the Gods,2014-02-07,1
421,black,vigilance,Commander 2016,2016-11-11,2
